outcome.test.score,treatment,school,is.female,mother.attended.secondary.school,father.attened.secondary.school,failed.at.least.one.school.year,family.receives.cash.transfer,has.computer.with.internet.at.home,is.unemployed,has.some.form.of.income,saves.money.for.future.purchases,intention.to.save.index,makes.list.of.expenses.every.month,negotiates.prices.or.payment.methods,fincial.autonomy.index
56.29512024,0,35012348,1,0,0,0,0,0,0,0,0,18,0,0,29
44.81257248,1,33040150,1,1,0,0,0,0,1,1,0,52,0,0,
66.35004425,1,35011587,1,1,1,0,0,0,1,1,1,75,0,0,14
64.49480438,0,35019409,1,1,1,0,0,0,0,0,1,43,1,1,50
61.29206848,0,33106711,1,1,1,0,0,0,0,1,1,72,0,1,88
70.02109528,0,33075174,1,1,0,1,0,0,,,,,,,
73.34207153,0,33048517,1,1,0,0,1,1,0,0,0,60,0,1,37
54.4016037,0,35042171,1,0,0,0,0,1,0,0,1,47,0,0,60
59.90879822,0,33090149,1,0,0,0,0,0,1,1,0,63,0,1,73
94.88101959,1,33052069,1,0,0,0,1,1,0,1,0,68,0,0,65
70.41146088,1,23047895,1,1,1,0,0,0,1,1,1,49,1,1,54
58.25773621,1,35002914,1,0,0,0,0,1,0,1,0,37,0,1,58
64.82675934,1,35041634,,,,,,,0,1,0,26,0,1,48
43.45241165,0,33048517,1,1,0,0,0,1,0,0,0,42,0,1,27
48.74882507,1,53007387,1,0,0,1,1,0,0,0,0,61,0,1,88
37.010849,0,35049220,0,0,0,0,0,1,1,1,0,22,0,1,18
32.16936111,1,33069921,1,0,1,1,0,1,1,1,0,60,0,1,69
85.66630554,0,35002926,,,,,,,0,0,0,68,0,0,75
57.51603317,1,33026904,1,0,0,1,1,1,1,1,0,41,1,1,52
64.22588348,1,33002614,0,0,1,0,1,0,0,1,0,22,0,0,18
50.35636902,0,35012348,,,,,,,0,0,,26,0,,
73.11854553,0,35924465,1,0,0,0,0,1,1,1,0,37,0,0,5
58.65970612,1,33017093,,,,,,,0,1,0,39,0,0,31
80.30521393,1,33104344,1,0,1,0,0,1,0,0,0,47,0,0,33
57.24986649,0,35921725,1,0,0,0,0,0,0,1,0,36,0,1,41
56.57304001,0,17019176,0,0,0,1,1,1,1,1,0,76,0,1,86
74.15560913,0,23188545,0,1,1,0,0,1,1,1,0,61,0,1,
64.06626129,1,23036010,0,1,1,0,0,0,1,0,1,,0,1,46
75.69324493,0,35012348,,,,,,,1,1,0,50,0,1,48
49.2158165,0,23077387,0,1,0,1,1,1,0,0,0,42,0,1,18
64.88894653,1,23264063,0,0,0,,1,,1,0,0,,0,1,
58.22974777,0,33033170,0,0,0,1,0,,1,1,0,66,0,1,50
82.48708344,0,23255528,0,0,0,0,1,1,0,1,0,18,0,1,65
40.395298,1,33040150,,,,,,,0,1,0,19,0,1,56
38.66487122,0,33032360,0,1,1,1,0,1,0,1,0,45,0,0,1
45.74533081,0,33099189,0,1,1,0,1,0,0,0,1,12,0,1,20
52.89961243,0,35924003,1,0,0,0,0,1,0,0,0,49,0,1,54
54.93920898,1,35917758,1,0,0,0,0,1,,,,,,,
47.70473862,0,23072374,,,,,,,0,0,0,-1,0,1,54
52.7614212,1,17000386,1,0,0,1,0,1,1,0,0,42,0,1,
54.73801422,1,35012359,,,,,,,1,1,0,22,0,1,60
43.60935593,0,23265876,1,1,0,1,1,1,1,1,1,51,0,1,48
53.6771965,1,23068566,1,0,,0,1,1,1,1,1,67,1,1,79
49.77371597,1,33014086,1,0,0,1,1,1,0,0,0,19,0,1,
29.75048256,1,33025100,1,1,1,1,0,0,0,0,0,51,0,0,24
61.12138367,0,35008825,1,1,1,0,0,0,0,1,0,23,0,1,54
85.96554565,0,53014812,1,1,1,0,0,0,0,0,0,50,0,0,37
58.41859818,1,17000386,1,0,0,1,1,1,0,0,0,59,0,0,27
45.2767067,1,35012359,,,,,,,1,1,0,,0,1,
65.36412048,1,35019823,1,0,0,0,0,0,1,1,0,24,0,1,52
66.87757874,0,35008667,1,1,1,0,0,0,1,1,0,58,0,1,41
70.88731384,1,23070820,1,1,1,0,1,1,0,1,0,46,1,1,20
66.68669891,1,35005307,1,0,1,0,0,0,0,0,0,61,0,1,58
52.15427017,0,33132879,1,0,0,0,0,0,0,1,0,35,0,0,58
68.96678925,1,33110220,1,0,1,1,0,0,1,1,0,43,0,1,37
77.42204285,0,23188545,1,1,1,0,0,1,0,0,0,36,0,1,29
32.89885712,0,35012129,1,1,0,0,1,0,0,0,,39,1,0,73
58.19136047,0,33008892,1,1,1,0,0,1,0,1,0,59,0,0,33
54.96482468,0,35901404,1,1,1,0,0,1,0,1,1,38,1,1,69
56.74665833,0,33039569,1,0,0,0,1,1,0,0,0,51,0,0,29
56.97187042,0,35012221,1,0,0,1,0,0,0,0,0,63,0,1,46
64.56861877,1,23065842,1,1,0,1,0,1,0,0,0,28,0,1,39
